eplay,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
Y4QPkphMJ7pjb5rGdogAUEjnRily2pNfyAM1UrxkAHo.rep,probewithadream,11 Pool,2045,3086,2938,-1,-1,-1,4399
Y4QPkphMJ7pjb5rGdogAUEjnRily2pNfyAM1UrxkAHo.rep,mG[Fast],11 Hatch,2722,3607,2343,3896,-1,-1,5061
Y4QPkphMJ7pjb5rGdogAUEjnRily2pNfyAM1UrxkAHo.rep,mangochaz,Overpool,1792,1935,-1,-1,3454,4976,4263
ZIhH835Nc0ZA621-1V-cNtASkQd-A5BBer5kqoJxl04.rep,mangochaz,12 Pool,2199,2323,3434,5485,9346,16162,4745
2wjS6LJHJD5prrdsBkNLVeK42HZGidyBaOmqJEBtBNM.rep,ProGamerMatt,12 Hatch,2819,2967,2458,12290,9504,-1,4399
2wjS6LJHJD5prrdsBkNLVeK42HZGidyBaOmqJEBtBNM.rep,larvafan,11 Pool,2091,3158,2902,4928,9936,11528,4501
5FbT_OsMVQ8TBdAkMyj5blQ0cJvCgbQ4XIR92sd4chU.rep,ProGamerMatt,Overpool,1812,1950,7072,7352,3326,4848,-1
5FbT_OsMVQ8TBdAkMyj5blQ0cJvCgbQ4XIR92sd4chU.rep,BSL-dany,9 Pool,1567,2720,9497,-1,4256,5896,-1
7B40x7UTndcKNSGrUg46-kwhBTF8bQDqH4ys8K7m99I.rep,ProGamerMatt,Overpool,1824,2088,-1,-1,5260,-1,-1
7B40x7UTndcKNSGrUg46-kwhBTF8bQDqH4ys8K7m99I.rep,BSL-dany,9 Pool,1603,-1,-1,-1,-1,-1,-1
8_rP7-al61yTq0bLUre_v5jQKHzqNpHUZdah3aU1ohA.rep,ProGamerMatt,12 Pool,2237,2310,3166,18746,4234,6830,11421
8_rP7-al61yTq0bLUre_v5jQKHzqNpHUZdah3aU1ohA.rep,limebean,12 Hatch,2845,3200,2416,17786,4874,6577,-1
9KCOXhhQ3At1m95D5Aff7bYhRF0zn3Z6E9OXUOcgAcM.rep,ProGamerMatt,Overpool,1878,2057,-1,-1,3324,4908,3731
9KCOXhhQ3At1m95D5Aff7bYhRF0zn3Z6E9OXUOcgAcM.rep,Arquimedes.,9 Pool,1659,2188,-1,-1,3484,5505,4782
EHwiGjLLEsXUcTsqwa8ql0OEuDTr67c0FhkEWWhEO8g.rep,ProGamerMatt,7 Pool,1334,5054,3649,-1,-1,-1,6600
keDGrEyCUxsG4TOFEKvwY3iYfCbR5HOnZGrr8J7Tggg.rep,ProGamerMatt,Overpool,1815,2229,7187,7493,3499,5052,4173
keDGrEyCUxsG4TOFEKvwY3iYfCbR5HOnZGrr8J7Tggg.rep,IlllIIIIIII,Overpool,1827,2333,3559,3721,5462,-1,4139
kkev1e5tYfEuuzMFqzKiIDoS0u0sCpj6sXdoIcz_Xcw.rep,ProGamerMatt,Overpool,1843,1972,4168,4183,-1,-1,3159
kkev1e5tYfEuuzMFqzKiIDoS0u0sCpj6sXdoIcz_Xcw.rep,limebean,12 Hatch,2880,2982,2450,-1,-1,-1,5279
PK4kOHrFg9BUW8AI5QPA5G6VxGm0hYdeASLtnWbUBp4.rep,ProGamerMatt,11 Pool,2050,2168,3197,3209,4377,6097,6699
PK4kOHrFg9BUW8AI5QPA5G6VxGm0hYdeASLtnWbUBp4.rep,limebean,12 Hatch,2955,3166,2513,-1,-1,-1,-1
PwYCNpCwq-aPIJklbUNy4ne8U91do0QFdMACD-0mUQw.rep,ProGamerMatt,12 Hatch,2853,3198,2430,11433,5718,7317,4365
qOIwDquiWTB3OrNDBeaYzZT9u-P1PBHML7un9OAvcIU.rep,ProGamerMatt,Overpool,1827,2101,3792,3892,8861,10383,-1
qOIwDquiWTB3OrNDBeaYzZT9u-P1PBHML7un9OAvcIU.rep,BSL-dany,9 Pool,1540,6316,6845,11882,8011,9740,-1
QYfqmjkuls66t-_c5DXneSXjxcULAQf5mHaYLsU6wwA.rep,ProGamerMatt,12 Hatch,2885,3008,2481,-1,4260,6160,4879
S70jloMGt2DpBq_MhHWxg8qRDF4b7iqCZQZyuurjJzw.rep,ProGamerMatt,12 Pool,2288,2312,3202,3217,3954,5738,-1
S70jloMGt2DpBq_MhHWxg8qRDF4b7iqCZQZyuurjJzw.rep,St0ry,12 Pool,2198,2324,3183,-1,4027,6233,-1
xnBony-3DN1DqyhHLzgu5UEcNgGquh2mkfTpvDo06FQ.rep,ProGamerMatt,Overpool,1819,3323,2925,-1,-1,-1,4612
xnBony-3DN1DqyhHLzgu5UEcNgGquh2mkfTpvDo06FQ.rep,limebean,9 Pool,1582,1885,-1,-1,3192,4745,-1
ytcJQcVPUo4JW8Ig43cQEm1qUJ6P6gAorYySf4hcnSo.rep,ProGamerMatt,11 Pool,2162,7932,9019,17211,9808,11329,11450
ytcJQcVPUo4JW8Ig43cQEm1qUJ6P6gAorYySf4hcnSo.rep,BSL-dany,9 Pool,1516,5763,6611,6621,7048,8616,11077
-9fLlv91gu_tCAA4Mlk7twltqR-1eKs0pm0_-L9yK98.rep,TomasPlay,Overpool,1823,1890,-1,-1,3146,4719,3597
-9fLlv91gu_tCAA4Mlk7twltqR-1eKs0pm0_-L9yK98.rep,Gandalfin,Overpool,1771,1904,-1,-1,3192,4758,3659
#NAME?,west_wind,9 Pool,1781,1882,4037,-1,-1,-1,3462
#NAME?,ProGamerMatt,Overpool,1807,2016,4427,4472,15975,-1,3249
0ZVN1NI6gPEl4JqvrtYqvfln_rM9Pprouet3bH9_zpo.rep,행복스타맨,7 Pool,1361,5710,4008,14176,10205,12100,9399
