file,player,build,Pylon 1,Pylon 2,Pylon 3,Pylon 4,Pylon 5,Gateway 1,Gateway 2,Gateway 3,Gateway 4,Gateway 5,Assimilator 1,Assimilator 2,Stargate 1,Stargate 2,Stargate 3,Stargate 4,Stargate 5,Forge 1,Citadel of Adun,Robotics Facility,Templar Archives,Robotics Support Bay,Photon Cannon 1,Photon Cannon 2,Photon Cannon 3,Photon Cannon 4,Photon Cannon 5,Observatory,Fleet Beacon,Arbiter Tribunal,Nexus 1,Nexus 2
BiHHTjpbhtWZ_Tb-gGdIrNYg-9kO1SJIFa7ZIDg2CBY.rep,FBS,,1194,3496,3533,4722,6296,1859,4097,6672,-1,-1,2434,-1,-1,-1,-1,-1,-1,5801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BiHHTjpbhtWZ_Tb-gGdIrNYg-9kO1SJIFa7ZIDg2CBY.rep,KilahAce,,1191,3530,4188,5238,6325,2028,3923,-1,-1,-1,2374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BopJ4Xur6em9KNXCTpmNOhoVsLZU8wPfDozbL69LSTE.rep,ETA,,1207,3532,5273,6585,-1,1786,4737,4851,-1,-1,2099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BopJ4Xur6em9KNXCTpmNOhoVsLZU8wPfDozbL69LSTE.rep,obj,,905,3955,-1,-1,-1,1603,2248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bRmrYAM5Vsn93T2AXX8mUEbP1G1H2nlDyERPw7HLiRk.rep,Zelias[bo],,1172,3003,3872,6105,-1,1822,2455,-1,-1,-1,6685,-1,-1,-1,-1,-1,-1,4591,-1,-1,-1,-1,5320,5568,6449,6949,-1,-1,-1,-1,-1,-1
c9i7YTLqtu9td5AYzaW16QjEXu3tz4HPWlM7mB3c6ek.rep,Cwt)Massprobe,,1127,2911,3626,6563,-1,1994,2375,-1,-1,-1,4344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c9i7YTLqtu9td5AYzaW16QjEXu3tz4HPWlM7mB3c6ek.rep,Gandalfin,,1144,2947,3830,5386,6496,1814,2402,2409,4624,-1,6412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cW-TqDIWILtmosTxUqP5MGGmyfhl8Cw8G4RwlrYshv4.rep,Hyyr,,1166,3032,4383,5993,6011,1904,2511,-1,-1,-1,3828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cW-TqDIWILtmosTxUqP5MGGmyfhl8Cw8G4RwlrYshv4.rep,Nc[Sanchez],,1151,2695,3841,4003,6063,1846,1871,2399,-1,-1,4340,-1,6664,-1,-1,-1,-1,6086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cW85p_8vswW2JIa5YRAQWnOkZnKdIVCDv4-UEVFtBNA.rep,커닝시티도적,,886,3756,-1,-1,-1,1604,2372,-1,-1,-1,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
