file,player,build,Supply Depot 1,Supply Depot 2,Supply Depot 3,Supply Depot 4,Supply Depot 5,Barracks 1,Barracks 2,Barracks 3,Barracks 4,Barracks 5,Refinery 1,Refinery 2,Factory 1,Factory 2,Factory 3,Factory 4,Factory 5,Armory,Academy,Engineering Bay,Command Center 1,Command Center 2
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,mustangas,,1733,3597,5179,6246,-1,2410,-1,-1,-1,-1,2500,-1,3764,-1,-1,-1,-1,-1,-1,-1,-1,-1
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,Gandalfin,,1566,3511,3996,6682,-1,2212,-1,-1,-1,-1,2335,-1,3551,3712,4957,6167,-1,-1,-1,-1,-1,-1
dnXQicAQStsmI0NvUlr_G_peeHtPUtLkZpF7-jSAKxQ.rep,RayPugh,,1336,3124,4767,5928,-1,2064,2586,-1,-1,-1,3778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eA6UQhEniZUVXJmWIKYjgBW3pGuQD4QXXYDZqb5Ya5M.rep,RayPugh,,1342,2915,4772,5764,-1,2026,-1,-1,-1,-1,2429,-1,3659,4324,7026,-1,-1,-1,-1,-1,-1,-1
EHwiGjLLEsXUcTsqwa8ql0OEuDTr67c0FhkEWWhEO8g.rep,EastHampton,,1460,3875,4831,5777,-1,2111,-1,-1,-1,-1,2564,-1,4071,4923,6648,-1,-1,-1,-1,-1,-1,-1
EHwiGjLLEsXUcTsqwa8ql0OEuDTr67c0FhkEWWhEO8g.rep,probewithadream,,1360,3220,4802,5889,6935,2038,2062,-1,-1,-1,2426,-1,3641,4457,6839,-1,-1,-1,-1,-1,-1,-1
EZdXQAxEiRmZM0CBp23FDnw84-qYPk-5UTZ73qaLt80.rep,discovision,,1366,3015,-1,-1,-1,2077,-1,-1,-1,-1,2467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EZdXQAxEiRmZM0CBp23FDnw84-qYPk-5UTZ73qaLt80.rep,EastHampton,,2333,3306,-1,-1,-1,1873,2067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
faEeKPUd3ALwbNA39lKvqKn-Gm0C2gfIXwtnQ7yBv6I.rep,또란,,1696,3311,6087,-1,-1,1359,2798,-1,-1,-1,4601,4614,6766,-1,-1,-1,-1,-1,-1,-1,-1,-1
faEeKPUd3ALwbNA39lKvqKn-Gm0C2gfIXwtnQ7yBv6I.rep,비두로기,,1396,-1,-1,-1,-1,2048,2833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fJlkfnx8YE7UosRXVvSHHB_xeNCq1niSE98YSS-70Ns.rep,Iphone7,,1402,3407,4173,6984,-1,2084,-1,-1,-1,-1,2475,-1,3734,4773,6326,-1,-1,-1,-1,-1,-1,-1
fJlkfnx8YE7UosRXVvSHHB_xeNCq1niSE98YSS-70Ns.rep,Probal,,1352,3157,7098,-1,-1,2002,-1,-1,-1,-1,2276,-1,4037,5036,6650,-1,-1,-1,-1,-1,-1,-1
gDDZl9IgNFgAEA0l3U4LdFR4yrmvmxygWn4B-a8j6og.rep,wbf,,1383,3848,3860,4860,7140,2069,-1,-1,-1,-1,2453,-1,3649,3666,3768,4364,-1,-1,-1,-1,-1,-1
gDDZl9IgNFgAEA0l3U4LdFR4yrmvmxygWn4B-a8j6og.rep,schizoDOC,,1428,3420,5012,5940,-1,2151,-1,-1,-1,-1,2533,-1,3947,4651,-1,-1,-1,-1,-1,-1,-1,-1
HEj_QWy6vlnGoyisOrwrfZ5kGoXqJioOIHP_2rTLOW0.rep,iCe,,1295,3050,4814,5712,6585,2006,2640,-1,-1,-1,3872,-1,6425,-1,-1,-1,-1,-1,-1,-1,-1,-1
Heqjk7T97-AcCSzS8WQnOuqZ4wFhwhSd1f9oG9yq7w0.rep,Lunaer____,,1365,3311,3442,4433,5985,2094,2780,3939,4091,-1,5040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
i63LjnOq6MUC7UaN_ATc6kfqlqHcN879x3MHaRHPme4.rep,또란,,1834,1854,1992,4485,-1,1220,2497,-1,-1,-1,6290,-1,-1,-1,-1,-1,-1,-1,-1,-1,6979,7001
IqN0I1Uw2qDHYRv8766ZY4CHuiSKi5Wt2ydExCzfCeg.rep,또그,,1425,3843,5756,5766,-1,1877,1896,-1,-1,-1,3348,-1,5107,5121,5844,5862,-1,-1,-1,-1,4547,-1
IqN0I1Uw2qDHYRv8766ZY4CHuiSKi5Wt2ydExCzfCeg.rep,Spicy,,1271,3443,5207,6615,-1,1989,-1,-1,-1,-1,2661,-1,4528,5818,-1,-1,-1,-1,-1,-1,-1,-1
IQsI0TlPqbBPfSxwr-4-ob1ZXTLG2dAilQk4F1-67kU.rep,LearningToFly,,1417,3139,4387,6766,-1,2149,2645,-1,-1,-1,4099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IyqW78yjdygzbfGPI2Uw_wUtpStqqmjMlPbl0j1Y7vg.rep,PRobal,,1786,3219,4926,6080,6853,1044,4017,-1,-1,-1,4878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jy4eCSOYqkLBgbEKZP0WeePj8ZmiKPDwWdTxeoqlsk4.rep,iCe,,1314,3306,-1,-1,-1,2006,-1,-1,-1,-1,2384,-1,3624,-1,-1,-1,-1,-1,-1,-1,-1,-1
keDGrEyCUxsG4TOFEKvwY3iYfCbR5HOnZGrr8J7Tggg.rep,larvafan,,1298,3773,4887,6014,-1,2186,2710,-1,-1,-1,3205,-1,7041,-1,-1,-1,-1,-1,-1,-1,-1,-1
kjdKFr3d4FNKQl4MArFoo-_tj6zA3CpGOLXktpRRowk.rep,BigBalls,,1427,2986,4179,6064,-1,2070,2080,2691,2709,2748,3673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kkev1e5tYfEuuzMFqzKiIDoS0u0sCpj6sXdoIcz_Xcw.rep,discovision,,1458,2982,4923,6073,6772,2123,2598,-1,-1,-1,3882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kRs_tjbVCMbpr0nsT_XQI0CzTYS3g6Bn3HPoMhxOh_U.rep,Iphone7,,1441,3475,4847,6261,-1,2161,2838,2854,5408,-1,3679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nO2PgP5bdAaZYihnmaoqaAY8egDuUsTdRmCkn6d-kNU.rep,또란,,1788,4428,5232,5244,7097,1240,4203,4944,-1,-1,5503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NS7pyKOOlN1bCNz3x7tESYLHLw9FHHyZAPPq1FAgL6k.rep,벌쳐너무약해요,,1333,3177,5312,-1,-1,2065,-1,-1,-1,-1,2548,-1,4343,5170,-1,-1,-1,-1,-1,-1,-1,-1
NS7pyKOOlN1bCNz3x7tESYLHLw9FHHyZAPPq1FAgL6k.rep,비두로기,,1313,3715,5786,-1,-1,1737,2631,-1,-1,-1,5404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oTcoA8EYJ_dz0G2C_4axnAu9vunMp6Zs4ANuq4Uayno.rep,또란,,1209,4184,5877,-1,-1,1923,2656,5310,5322,-1,4417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
P-H2FSmH0ErApa6WxFj7ysZLrqeeN5g-E8flEXgxoXg.rep,또란,,1287,3527,5955,-1,-1,1893,2595,5866,-1,-1,3121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
P-H2FSmH0ErApa6WxFj7ysZLrqeeN5g-E8flEXgxoXg.rep,벌쳐너무약해요,,1333,3424,6043,7010,-1,2065,4751,5471,5484,-1,5811,-1,-1,-1,-1,-1,-1,-1,-1,-1,4370,-1
pd7_bAQuuaNeqG-anWpzmq7xoz1wpj32pZhXhvtPxJI.rep,벌쳐너무약해요,,1399,3332,6237,-1,-1,2101,-1,-1,-1,-1,2465,-1,3734,5770,5787,-1,-1,-1,-1,-1,5170,-1
PK4kOHrFg9BUW8AI5QPA5G6VxGm0hYdeASLtnWbUBp4.rep,discovision,,1327,3073,5294,6924,-1,2067,-1,-1,-1,-1,2460,-1,4081,4745,5792,-1,-1,-1,-1,-1,-1,-1
PK4kOHrFg9BUW8AI5QPA5G6VxGm0hYdeASLtnWbUBp4.rep,EastHampton,,1372,3547,5399,6544,-1,2038,-1,-1,-1,-1,2453,-1,3710,4644,5862,-1,-1,-1,-1,-1,-1,-1
pOXcVdr7w9Ie-49qljFdJwUi9t8pM_pkNqh_lsfxhyA.rep,또란,,1258,1277,3647,-1,-1,2069,-1,-1,-1,-1,3067,3387,6257,-1,-1,-1,-1,-1,-1,-1,5228,-1
PwYCNpCwq-aPIJklbUNy4ne8U91do0QFdMACD-0mUQw.rep,EastHampton,,1397,2828,6163,6799,-1,2047,-1,-1,-1,-1,2498,-1,4073,4731,-1,-1,-1,-1,-1,-1,-1,-1
PwYCNpCwq-aPIJklbUNy4ne8U91do0QFdMACD-0mUQw.rep,probewithadream,,1424,2972,5413,6680,-1,2120,-1,-1,-1,-1,2506,-1,3875,4801,6440,-1,-1,-1,-1,-1,-1,-1
PzFB-VA15xwcqG-BmVKxBYfNdQPxQgKeAFTjzXPli9U.rep,Spicy,,1230,3485,6402,-1,-1,1961,-1,-1,-1,-1,2372,-1,4042,5780,6339,-1,-1,-1,-1,-1,-1,-1
Q7RfUR2zyh4HaYIrU-OT3pjney4FPiL-iKXpUiTAHZs.rep,TerraHydraCanno,,1402,3054,4775,-1,-1,2142,2633,-1,-1,-1,3734,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QIwOIIR23m-9i2aIvWx-VaFgPC1oO-ITR54B1GBS6wU.rep,비두로기,,1302,4327,5156,6428,6540,2124,-1,-1,-1,-1,2510,4852,6272,6768,-1,-1,-1,-1,-1,-1,4061,-1
qOIwDquiWTB3OrNDBeaYzZT9u-P1PBHML7un9OAvcIU.rep,discovision,,1366,3086,5117,6401,7092,2088,2708,-1,-1,-1,3777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qrtawd5d2J2me7HwjZtlhCt-Os2LW8EXyVQ_Vw_a6Ok.rep,PRobal,,1755,3136,-1,-1,-1,962,4375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QXBxkVAdObLDwmW-yR6vsCYvg7lfY8lyvSLjqDZHisc.rep,LK99 플토,,1452,4290,5172,5210,5235,2221,4019,-1,-1,-1,5391,-1,6709,6828,-1,-1,-1,-1,-1,-1,-1,-1
QYfqmjkuls66t-_c5DXneSXjxcULAQf5mHaYLsU6wwA.rep,discovision,,1474,1584,3202,5668,7104,2134,-1,-1,-1,-1,3617,-1,5012,5391,-1,-1,-1,-1,-1,-1,6641,-1
QYfqmjkuls66t-_c5DXneSXjxcULAQf5mHaYLsU6wwA.rep,MothaFykStarBoi,,1324,1547,3567,-1,-1,2236,2783,-1,-1,-1,3755,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
